Bias  correction  method:  BCCAQv2
Model  name:  Ensemble
RCP:  85
Variable:  tasmax
Season:  annual
1950-01-01  to  2095-12-31
city_451:  Average  number  of  days  ge  30.0  Mean  Ensemble
Year,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR ,Ensemble
1992,8.0 ,3.0 ,2.0 ,26.0 ,49.0 ,1.0 ,10.0 ,40.0 ,15.0 ,7.0 ,8.0 ,11.0 ,14.0 ,7.0 ,5.0 ,19.0 ,17.0 ,0.0 ,0.0 ,6.0 ,7.0 ,19.0 ,23.0 ,14.0 ,13.0
1993,17.0 ,5.0 ,12.0 ,6.0 ,4.0 ,29.0 ,4.0 ,5.0 ,6.0 ,29.0 ,10.0 ,7.0 ,28.0 ,13.0 ,28.0 ,12.0 ,12.0 ,0.0 ,7.0 ,29.0 ,21.0 ,4.0 ,14.0 ,6.0 ,12.8
1994,6.0 ,12.0 ,32.0 ,12.0 ,31.0 ,11.0 ,10.0 ,42.0 ,8.0 ,17.0 ,29.0 ,21.0 ,19.0 ,19.0 ,24.0 ,15.0 ,26.0 ,17.0 ,40.0 ,8.0 ,19.0 ,23.0 ,11.0 ,7.0 ,19.1
1995,11.0 ,12.0 ,31.0 ,17.0 ,5.0 ,13.0 ,11.0 ,42.0 ,15.0 ,22.0 ,17.0 ,15.0 ,9.0 ,15.0 ,9.0 ,10.0 ,21.0 ,19.0 ,19.0 ,13.0 ,32.0 ,12.0 ,25.0 ,0.0 ,16.5
1996,11.0 ,20.0 ,38.0 ,11.0 ,6.0 ,28.0 ,16.0 ,11.0 ,25.0 ,17.0 ,24.0 ,16.0 ,12.0 ,10.0 ,6.0 ,15.0 ,11.0 ,13.0 ,28.0 ,30.0 ,20.0 ,7.0 ,18.0 ,18.0 ,17.1
1997,7.0 ,12.0 ,54.0 ,24.0 ,15.0 ,12.0 ,19.0 ,32.0 ,16.0 ,29.0 ,14.0 ,8.0 ,23.0 ,29.0 ,35.0 ,24.0 ,12.0 ,4.0 ,5.0 ,8.0 ,19.0 ,34.0 ,11.0 ,16.0 ,19.2
1998,17.0 ,21.0 ,33.0 ,26.0 ,5.0 ,13.0 ,8.0 ,16.0 ,12.0 ,28.0 ,28.0 ,23.0 ,23.0 ,17.0 ,23.0 ,19.0 ,13.0 ,11.0 ,21.0 ,13.0 ,15.0 ,13.0 ,25.0 ,13.0 ,18.2
1999,21.0 ,12.0 ,29.0 ,24.0 ,19.0 ,21.0 ,9.0 ,18.0 ,30.0 ,19.0 ,18.0 ,28.0 ,32.0 ,8.0 ,28.0 ,23.0 ,27.0 ,16.0 ,17.0 ,16.0 ,24.0 ,7.0 ,18.0 ,43.0 ,21.1
2000,33.0 ,28.0 ,15.0 ,14.0 ,11.0 ,21.0 ,7.0 ,22.0 ,14.0 ,6.0 ,19.0 ,21.0 ,8.0 ,27.0 ,3.0 ,14.0 ,49.0 ,19.0 ,46.0 ,17.0 ,11.0 ,22.0 ,15.0 ,18.0 ,19.2
2001,13.0 ,23.0 ,6.0 ,27.0 ,19.0 ,16.0 ,23.0 ,14.0 ,22.0 ,18.0 ,21.0 ,11.0 ,19.0 ,33.0 ,14.0 ,34.0 ,14.0 ,3.0 ,14.0 ,28.0 ,20.0 ,8.0 ,14.0 ,20.0 ,18.1
