,Asset Name,Asset Type,Asset Address,Asset Size SQF,Asset Date Built,2023 FCI Rating,Year_Built,dry_days_hxmax40_mean,freeze_thaw_mean,ice_days_mean,max_temp_mean_mean,minimum_temp_mean_mean,tg_mean_6_mean,total_precipitation_mean,wet_days_plus20mm_mean,WARD
302,"Lynden Legion Park - Royal Canadian Legion, Beverly Branch 500",Park Facilities - Public Use,206 Lynden Rd.,8400.0,1984-01-02,0.276716044249836,1984.0,1.5853658536585369,66.14634146341463,49.34146341463415,13.531219512195122,3.735853658536585,8.632439024390242,855.7317073170732,7.0,12
303,LYNDEN LIBRARY,Libraries,110 LYNDEN ROAD,3815.0,2012-01-02,0.001484601382364,2012.0,2.6153846153846154,63.88461538461539,42.30769230769231,14.193846153846154,4.433076923076924,9.303076923076924,864.2353846153845,7.384615384615385,12
304,LYNDEN LIONS CLUB,Community Centres,4070 GOVERNORS ROAD,2280.0,1900-01-01,0.0204361746658558,1900.0,0.96,68.59333333333333,53.54,13.071866666666669,3.2452,8.153599999999999,845.3410666666667,6.6866666666666665,12
305,Lynden Lions South Park - Picnic Pavilion,Park Facilities - Public Use,4070 Governor's Rd.,864.0,2014-01-02,0.0151096238157506,2014.0,2.8181818181818183,63.81818181818182,41.22727272727273,14.30181818181818,4.54,9.407272727272728,860.9290909090909,7.363636363636363,12
306,Lynden Lions South Park - Washroom/Concession North End Of Park,Park Facilities - Public Use,4070 Governor's Rd.,1167.0,1985-01-02,0.1702571539046029,1985.0,1.625,66.1375,49.125,13.56275,3.76725,8.663999999999998,856.6487500000001,7.025,12
307,MACASSA LODGE,Lodges,701 UPPER SHERMAN AVENUE,236186.0,1960-01-02,0.0430925057710533,1960.0,1.323076923076923,62.86923076923077,50.49230769230769,13.146307692307692,3.93476923076923,8.541846153846155,834.9787692307692,6.9,7
308,Macassa Park - Small Utility Bldg,Park Facilities - Maintenance & Storage,9 Dallas Ave.,72.0,2014-01-01,0.0,2014.0,3.272727272727273,58.36363636363637,39.13636363636363,14.293636363636365,5.144545454545455,9.703636363636363,848.8472727272728,7.409090909090909,7
309,Macassa Park - Washroom / Storage,Park Facilities - Public Use,777 Upper Sherman Ave.,4075.0,1985-01-02,0.024771911169878,1985.0,1.8,61.1375,47.0625,13.55325,4.36875,8.9625,845.9765,7.0875,7
310,Mahony Park - Washrooms (Renovations 2017),Park Facilities - Public Use,1655 Barton St. E.,6370.0,1969-01-02,0.196246610003942,1969.0,1.5,58.96428571428572,45.830357142857146,13.460178571428573,4.530892857142857,8.996964285714286,825.4399999999999,6.75,4
311,Maplewood Park - Storage,Park Facilities - Maintenance & Storage,2nd Road West,355.0,1968-08-30,0.0963427630413663,1968.0,1.4736842105263157,58.98245614035088,46.078947368421055,13.436666666666666,4.508596491228071,8.973684210526315,825.1373684210527,6.7368421052631575,9
312,MARTINO MEMORIAL PARK - CHANGEROOMS & WASHROOMS,Park Facilities - Public Use,147 KING STREET EAST,930.0,1985-01-02,0.4340353769653453,1985.0,1.825,59.325,41.575,13.970999999999998,4.8195,9.39275,818.7439999999999,6.9375,2
313,MARTINO MEMORIAL PARK - CONCESSION & WASHROOMS,Park Facilities - Public Use,147 KING STREET EAST,1832.0,1984-01-02,0.0175148894074853,1984.0,1.804878048780488,59.39024390243903,41.81707317073171,13.940243902439024,4.789024390243903,9.36219512195122,817.6141463414634,6.926829268292683,2
314,MATA-B - FIRE ADMINISTRATION,Fire & EMS,1227 STONE CHURCH ROAD EAST,36512.0,2010-01-02,0.0,2010.0,3.0,58.4,40.96666666666667,14.138,5.008666666666666,9.566666666666666,856.4746666666668,7.5,6
315,MATA-C - INDOOR TRAINING CENTRE,Fire & EMS,1227 STONE CHURCH ROAD EAST,40000.0,2010-01-02,0.0001806214823966,2010.0,3.0,58.4,40.96666666666667,14.138,5.008666666666666,9.566666666666666,856.4746666666668,7.5,6
316,MATA-D - FIRE SMOKE HOUSE & BURN TOWER,Fire & EMS,1227 STONE CHURCH ROAD EAST,5522.0,2015-01-02,0.0186490437340079,2015.0,3.2,58.1,38.9,14.342999999999998,5.175,9.742,849.0450000000001,7.35,6
317,MATERIALS RECYCLING FACILITY (FIRESTONE),Work Yards & Maintenance,1579 BURLINGTON STREET EAST,273195.0,1960-01-02,0.0379429431899419,1960.0,1.0,56.87692307692308,42.61538461538461,13.592615384615383,4.848615384615385,8.87723076923077,791.6004615384617,6.7,4
318,McLaren Park - Shade Structure,Park Facilities - Public Use,160 John St. N,225.0,2016-05-02,0.0,2016.0,3.2222222222222223,55.388888888888886,34.0,14.767777777777775,5.652222222222223,10.2,819.0466666666666,7.277777777777778,2
319,Memorial Park - Bocce Building,Park Facilities - Public Use,87 Glen Cannon Dr.,560.0,2014-01-02,0.0,2014.0,3.090909090909091,51.86363636363637,34.86363636363637,14.545454545454543,5.862727272727272,10.19181818181818,831.5581818181818,7.227272727272727,10
320,MILLGROVE COMMUNITY CENTRE,Community Centres,855 MILLGROVE SIDE ROAD,4811.0,1986-01-02,0.0316385545598824,1986.0,1.3076923076923077,66.56410256410257,52.15384615384615,13.225897435897435,3.5264102564102564,8.373846153846156,854.5553846153845,6.987179487179487,15
321,Millgrove Park - Pavilion / Concession,Park Facilities - Public Use,857 Millgrove Side Rd,1680.0,1974-01-02,0.0067795668437867,1974.0,1.0588235294117647,67.49019607843137,54.21568627450981,12.990980392156864,3.274117647058824,8.129215686274511,847.6174509803923,6.872549019607843,15
322,Millgrove Park - Small Storage / Washroom Between The Diamonds,Park Facilities - Public Use,857 Millgrove Side Rd,280.0,1974-01-02,0.7075312685958737,1974.0,1.0588235294117647,67.49019607843137,54.21568627450981,12.990980392156864,3.274117647058824,8.129215686274511,847.6174509803923,6.872549019607843,15
323,Millgrove Park - Washrooms,Park Facilities - Public Use,857 Millgrove Side Rd,436.0,1974-01-02,0.5665591920255982,1974.0,1.0588235294117647,67.49019607843137,54.21568627450981,12.990980392156864,3.274117647058824,8.129215686274511,847.6174509803923,6.872549019607843,15
324,MOHAWK 4 ICE CENTRE,Arenas,710 MOUNTAIN BROW BOULEVARD ,136000.0,2005-01-01,0.0468236595871212,2005.0,2.65,55.15,38.575,14.238,5.3555,9.8,843.7555,7.375,6
325,Mohawk Sports Park - Baseball Dugout Structure First Base Line,Park Facilities - Public Use,1100 Mohawk Rd E,212.0,1985-01-02,0.0,1985.0,1.925,57.675,43.5625,13.752,4.84,9.29725,832.2475000000001,6.9125,6
326,Mohawk Sports Park - Baseball Dugout Structure Third Base Line,Park Facilities - Public Use,"1100 Mohawk Rd E, Hamilton, ON",212.0,1985-01-02,0.0,1985.0,1.925,57.675,43.5625,13.752,4.84,9.29725,832.2475000000001,6.9125,6
327,MOHAWK SPORTS PARK - BERNIE ARBOUR STADIUM,Park Facilities - Public Use,685 UPPER KENILWORTH AVENUE,5095.0,1982-01-02,0.0070351337520746,1982.0,1.813953488372093,57.96511627906977,44.11627906976744,13.670697674418603,4.759767441860465,9.215813953488372,829.807441860465,6.895348837209302,6
328,Mohawk Sports Park - Small Storage Structure Adjacent To Scorer's Booth,Park Facilities - Maintenance & Storage,1100 Mohawk Rd E,143.0,1982-01-02,0.818433044821128,1982.0,1.813953488372093,57.96511627906977,44.11627906976744,13.670697674418603,4.759767441860465,9.215813953488372,829.807441860465,6.895348837209302,6
329,Mohawk Sports Park - Small Structure Next To Rugby Building,Park Facilities - Maintenance & Storage,1100 Mohawk Rd E,158.0,1968-01-02,0.1788564311195585,1968.0,1.4736842105263157,58.98245614035088,46.078947368421055,13.436666666666666,4.508596491228071,8.973684210526315,825.1373684210527,6.7368421052631575,6
330,Mohawk Sports Park - Soccer Field House Building / Storage For Parks,Park Facilities - Maintenance & Storage,805 UPPER KENILWORTH AVENUE,8000.0,1991-01-02,0.0571396059422918,1991.0,2.176470588235294,56.88235294117647,42.30882352941177,13.88558823529412,4.971176470588235,9.428529411764703,831.5035294117647,7.0,6
331,Mohawk Sports Park - Storage - Most Southerly Bldg Between 2 Ball Diamonds,Park Facilities - Maintenance & Storage,1100 Mohawk Rd E,243.0,1982-01-02,0.069776155260295,1982.0,1.813953488372093,57.96511627906977,44.11627906976744,13.670697674418603,4.759767441860465,9.215813953488372,829.807441860465,6.895348837209302,6
332,Mohawk Sports Park - Storage / Office Space,Park Facilities - Maintenance & Storage,1100 Mohawk Rd E,1565.0,1982-01-02,0.0376866926159083,1982.0,1.813953488372093,57.96511627906977,44.11627906976744,13.670697674418603,4.759767441860465,9.215813953488372,829.807441860465,6.895348837209302,6
333,MOHAWK SPORTS PARK B - RUGBY CLUBHOUSE,Park Facilities - Public Use,699 UPPER KENILWORTH AVENUE,2784.0,1993-01-02,0.0567084999935456,1993.0,2.28125,56.6875,41.8125,13.943125,5.026562500000001,9.4821875,831.9784374999999,7.046875,6
334,MOHAWK SPORTS PARK C - PARKS UTILITY BUILDING,Park Facilities - Maintenance & Storage,805 UPPER KENILWORTH AVENUE,1711.0,1991-01-02,0.0464690366104034,1991.0,2.176470588235294,56.88235294117647,42.30882352941177,13.88558823529412,4.971176470588235,9.428529411764703,831.5035294117647,7.0,6
335,MOHAWK SPORTS PARK D - RAY LEWIS TRACK & FIELD CENTRE,Park Facilities - Public Use,805 UPPER KENILWORTH AVENUE,6545.0,1982-01-02,0.0281394995374667,1982.0,1.813953488372093,57.96511627906977,44.11627906976744,13.670697674418603,4.759767441860465,9.215813953488372,829.807441860465,6.895348837209302,6
336,Montgomery Park - Pavilion,Park Facilities - Public Use,1570 Main St. E.,336.0,1964-01-02,0.0,1964.0,1.3934426229508197,59.278688524590166,46.60655737704918,13.378032786885246,4.440819672131148,8.911147540983608,823.2116393442623,6.721311475409836,4
337,Montgomery Park - Pavilion - Sun Shelter Part Of Play Equipment,Park Facilities - Public Use,1570 Main St. E.,381.0,1964-01-02,0.0112750527698494,1964.0,1.3934426229508197,59.278688524590166,46.60655737704918,13.378032786885246,4.440819672131148,8.911147540983608,823.2116393442623,6.721311475409836,4
338,Montgomery Park - Washroom / Storage / Concession,Park Facilities - Public Use,1570 Main St. E.,2788.0,1964-01-02,0.0,1964.0,1.3934426229508197,59.278688524590166,46.60655737704918,13.378032786885246,4.440819672131148,8.911147540983608,823.2116393442623,6.721311475409836,4
339,MORGAN FIRESTONE ARENA & ROTARY CENTRE,Arenas,385 JERSEYVILLE ROAD WEST,92570.0,1996-01-02,0.019617367992419,1996.0,2.103448275862069,64.05172413793103,46.46551724137931,13.804827586206896,4.166896551724138,8.983448275862068,856.7506896551726,7.310344827586207,12
340,MOUNT HAMILTON CEMETERY,Cemeteries,244 RYMAL ROAD EAST,355.0,1978-01-01,2.5187653417756213,1978.0,1.6170212765957446,61.63829787234042,48.32978723404256,13.410212765957448,4.214680851063831,8.812340425531914,842.1510638297872,7.085106382978723,7
341,MOUNT HOPE COMMUNITY YOUTH CENTRE,Community Centres,3027 HOMESTEAD DRIVE,6035.0,1964-01-02,0.0737575071058523,1964.0,1.2950819672131149,62.55737704918032,50.13934426229508,13.173278688524586,3.994918032786885,8.584918032786884,842.2686885245901,6.762295081967213,11
342,MOUNT HOPE LIBRARY,Libraries,3027 HOMESTEAD DRIVE,6015.0,1908-01-02,0.0434351966838781,1908.0,1.12,63.29333333333334,51.17333333333333,13.0544,3.875066666666668,8.460933333333333,839.9015999999999,6.653333333333333,11
343,MOUNT HOPE YARD - MAIN BUILDING (F),Work Yards & Maintenance,7098 AIRPORT ROAD,5539.0,1969-01-02,0.2632488917714666,1969.0,1.3035714285714286,62.267857142857146,49.3125,13.254285714285714,4.085178571428572,8.670714285714286,844.3308928571429,6.794642857142857,11
344,MOUNT HOPE YARD - SALT / SAND STORAGE,Work Yards & Maintenance,7098 AIRPORT ROAD,2580.0,2004-01-02,0.2335653255993221,2004.0,2.523809523809524,58.97619047619048,42.26190476190476,14.007142857142858,4.882380952380951,9.441904761904762,860.3461904761905,7.333333333333333,11
345,MOUNT HOPE YARD - SMALL STORAGE BUILDING,Work Yards & Maintenance,7098 AIRPORT ROAD,130.0,1969-01-01,0.1871364193446411,1969.0,1.3035714285714286,62.267857142857146,49.3125,13.254285714285714,4.085178571428572,8.670714285714286,844.3308928571429,6.794642857142857,11
346,Mount Lions Park - Sun Shelter Pavilion,Park Facilities - Public Use,450 Queen Victoria Dr.,380.0,2002-01-02,0.0,2002.0,2.608695652173913,59.58695652173913,42.80434782608695,13.959565217391305,4.8078260869565215,9.384347826086955,851.7056521739129,7.260869565217392,6
347,Mountain Drive Park - Washrooms / Storage,Park Facilities - Public Use,935 Concession St.,2152.0,1968-01-02,0.0344075720102229,1968.0,1.4736842105263157,62.42982456140351,49.64912280701754,13.237894736842106,4.036140350877193,8.638245614035089,838.4136842105263,6.9298245614035086,7
348,MOUNTSBERG HALL,Community Centres,2133 CENTRE ROAD,1432.0,1944-01-02,0.2933829707240667,1944.0,0.52,71.04666666666667,61.84,12.400933333333334,2.446533333333333,7.421333333333332,844.3664000000001,6.6,15
349,MOUNTVIEW GARDENS - CEMETERY,Cemeteries,735 HIGHWAY 8,1355.0,1985-01-02,0.0021837200193325,1985.0,1.725,55.45,42.325,13.807,5.08625,9.449,828.41525,6.75,10
350,Mountview Park - Storage / Pavilion,Park Facilities - Public Use,115 San Antonio Dr.,557.0,1990-01-01,0.0,1990.0,2.0,62.84285714285714,47.52857142857143,13.598285714285712,4.179142857142857,8.892285714285716,850.4534285714286,7.257142857142857,14
351,MTC - MOUNTAIN TRANSIT CENTRE (F),Transit Facilities,2200 UPPER JAMES STREET,283917.0,1983-01-01,0.0289194384018975,1983.0,1.738095238095238,61.333333333333336,47.38095238095238,13.494523809523812,4.310952380952381,8.90357142857143,843.9459523809522,7.071428571428571,11
